"Id","ExtraProperties","ConcurrencyStamp","CreationTime","CreatorId","LastModificationTime","LastModifierId","IsDeleted","DeleterId","DeletionTime","Code","Name","ShortName","Status","IsPublic","IsPA","IsStockItem","Weight","Volume","InventoryIssueRule","ProductTaxCategoryId","BaseUnitId","VolumeUOMId","WeightUOMId","ProductOrderName","HierachyL01Id","HierarchyL01Code","HierachyL02Id","HierarchyL02Code","HierachyL03Id","HierarchyL03Code","HierachyL04Id","HierarchyL04Code","HierachyL05Id","HierarchyL05Code","IsPromotion","SalesUnit","CompanyCode","CategoryL01","CategoryL02","CategoryL03","CategoryL04","CategoryL05","SecondarySellingUOMCode","StockBasePrice","ListPrice","Attribute01","Attribute02","Attribute03","ChangeId","ProductName3","TaxCode","BaseUOMCode","BOM","ProductGroupingId"
"0003246c-ebc8-4aeb-8db1-688b222fe35c","{}","ba5c8f1cd0394a8685c500230e584899","2025-11-27 12:30:40.746192",NULL,"2026-02-04 10:07:30.933606",NULL,False,NULL,NULL,"142003912","Bag AN Pork 900g-campaign (06.23)","","A",True,False,True,"0","0","FEFO","3a1c5d36-d60f-ad2f-af06-bfb0752ceb82","3a1c5840-9dd4-2a7d-4c89-fdeae63288f6",NULL,NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",False,NULL,"","","","","","","","0","0","","","Z006","U","","1","PCS",False,NULL
"0003d1de-082c-4855-9fef-afc5f71a7718","{}","04e61c865c1c4acab27a99e0ee868dba","2025-11-27 11:16:29.743272",NULL,"2026-02-04 09:41:39.39312",NULL,False,NULL,NULL,"142002875","Carton AN Pork 170g - Jar AZ01 (10.19)","CARTON AN PORK 170G - JAR AZ01 (10.19)","A",True,False,True,"0","0","FEFO","3a1c5d36-d60f-ad2f-af06-bfb0752ceb82","3a1c5840-9dd4-2a7d-4c89-fdeae63288f6",NULL,NULL,"Thùng AN Heo 170g - Hủ AZ01",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",False,NULL,"","","","","","","","0","0","","","Z006","U","Thùng AN Heo 170g - Hủ AZ01","1","PCS",False,NULL
"00107f2e-2864-4d9d-a0f7-b95e552d46b8","{}","8263c10d0def4b2ab55b55f29b021418","2025-11-27 12:28:02.184129",NULL,"2026-02-04 10:06:35.345452",NULL,False,NULL,NULL,"142003876","Bag AN Pork and Shrimp 2kg (04.23)","","A",True,False,True,"0","0","FEFO","3a1c5d36-d60f-ad2f-af06-bfb0752ceb82","3a1c5840-9dd4-2a7d-4c89-fdeae63288f6",NULL,NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",False,NULL,"","","","","","","","0","0","","","Z006","U","","1","PCS",False,NULL
"001ccd54-d7b4-416d-96ba-7377ca8eb14c","{}","91b9232d8aa04e51b6094a7c5490f079","2025-11-27 11:56:50.406848",NULL,"2026-02-04 09:55:49.192256",NULL,False,NULL,NULL,"142003452","Bag AN Pork 900g (06.22)","","A",True,False,True,"0","0","FEFO","3a1c5d36-d60f-ad2f-af06-bfb0752ceb82","3a1c5840-9dd4-2a7d-4c89-fdeae63288f6",NULL,NULL,"Túi AN Heo 900g (06.22)",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",False,NULL,"","","","","","","","0","0","","","Z006","U","Túi AN Heo 900g (06.22)","1","PCS",False,NULL
"004c17cf-791d-4203-ba2c-abbdd43997cc","{}","b64cdc51f0a5401797a29526df515606","2025-11-27 12:24:56.199694",NULL,"2026-02-04 10:05:29.463578",NULL,False,NULL,NULL,"142003834","Carton Fish Sauce Plus 2Kg (04.23)","","A",True,False,True,"0","0","FEFO","3a1c5d36-d60f-ad2f-af06-bfb0752ceb82","3a1c5840-9dd4-2a7d-4c89-fdeae63288f6",NULL,NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",False,NULL,"","","","","","","","0","0","","","Z006","U","","1","PCS",False,NULL
"0056e8a7-4ee3-4d25-b6b3-62f1f092a827","{}","e31703c6829e4d7983ecf81708437836","2025-11-27 10:45:08.422592",NULL,"2026-02-04 09:30:21.579219",NULL,False,NULL,NULL,"142002123","Carton BD-Milk Tea Box KM Ly 11/16-(540*345*330)","CARTON BD-MILK TEA BOX KM LY 11/16-(540*345*330)","I",True,False,True,"0","0","FEFO","3a1c5d36-d60f-ad2f-af06-bfb0752ceb82","3a1c5840-9dd4-2a7d-4c89-fdeae63288f6",NULL,NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",False,NULL,"","","","","","","","0","0","","","Z006","U","","1","PCS",False,NULL
"00872f66-62a1-45b3-af11-239429ae76c3","{}","b71d2872987544c8997a463be600f28b","2025-11-27 13:46:48.332451",NULL,"2026-02-04 10:35:35.700929",NULL,False,NULL,NULL,"149000689","VGR-400ML-(01.19)-BUY BACK","VG0.4L3-BUY BACK","A",True,False,True,"0.40000000000000002","0","FEFO","3a1c5d36-d60f-ad2f-af06-bfb0752ceb82","3a1c5840-9cd6-bf5c-3990-9af106c34ed1",NULL,NULL,"VGR-400ML-(01.19)-BUY BACK","3a1c5840-e54e-198b-c770-91bdf070197d","06","3a1c5878-0ec7-5304-beaf-2ffb6890a2c4","0601","3a1c5878-b9f8-e1bb-601f-b17c137855f1","100","3a1c5879-f702-cf15-ef15-ea98bbe8a34e","060114","3a1c5840-af8f-12ca-2e7f-2ee66808b8c7","070",False,"BOT, CAS","","","","","","","CAS","0","0","","4.0000000000000002E-01","Z002","U","VGR-400ML-(01.19)-BUY BACK","1","LIT",False,NULL
"00a817bb-832b-473d-9dc2-5267b05b45d6","{}","8bedf77c2fdd406a92ea182ef968a7ff","2025-11-27 13:04:24.658941",NULL,"2026-02-04 10:18:46.315449",NULL,False,NULL,NULL,"144001187","Hanger Aji-ngon AGB [8.2020]","Hanger Aji-ngon AGB [8.2020]","A",True,False,True,"0","0","FEFO","3a1c5d36-d60f-ad2f-af06-bfb0752ceb82","3a1c5840-9dd4-2a7d-4c89-fdeae63288f6",NULL,NULL,"Hanger Aji-ngon AGB [8.2020]",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",True,"PCS","","","","","","","PCS","0","0","","","Z007","U","Hanger Aji-ngon AGB [8.2020]","1","PCS",False,NULL
"00a9ff29-9b27-49b7-9029-edab53524260","{}","7ffe707ac0e04834a2b8e02ea272c538","2025-11-27 13:52:00.154298",NULL,"2026-02-04 10:37:22.008932",NULL,False,NULL,NULL,"1500000006","Thùng test transport AQ TH SKU 1 kg _new","Thùng test transport AQ TH SKU 1 kg _new","A",True,False,True,"12.000000000000000","0","FEFO","3a1c5d36-d60f-ad2f-af06-bfb0752ceb82","3a1c5840-9b5b-e2ba-6ab9-66b59234571a",NULL,NULL,"Thùng test transport AQ TH SKU 1 kg _new",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",True,NULL,"","","","","","","","0","0","","1.2000000000000000E+01","Z007","U","Thùng test transport AQ TH SKU 1 kg _new","1","CAS",False,NULL
"00ab559b-a62c-4ccc-a874-9ec5ed3ba255","{}","d76eddb7dac647e59fe453227c2f04d3","2025-11-06 15:21:56.150152",NULL,"2025-12-04 11:26:40.492046","3ffa43d8-c255-4005-b12e-f9d73e20cdb0",False,NULL,NULL,"140002794","HỘP QUÀ TẾT 2023 GA-1","HỘP QUÀ TẾT 2023 GA-1","A",True,True,True,"2.3590000000000000","0","FEFO","3a1c5d36-d60f-ad2f-af06-bfb0752ceb82","3a1c5840-9afc-1ccd-7e90-696ba3a0d7c9",NULL,NULL,"HỘP QUÀ TẾT 2023 GA-1",NULL,"",NULL,"",NULL,"",NULL,"",NULL,"",False,"BOX, CAS","","","","","","","CAS","0","0","","2.3590000000000000E+00","Z013","U","HỘP QUÀ TẾT 2023 GA-1","1","BOX",True,NULL
